,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
716,002722,金轮股份,金轮蓝海股份有限公司,002722,金轮股份,2014年1月28日,江苏南通市
717,002723,金莱特,广东金莱特电器股份有限公司,002723,金莱特,2014年1月29日,广东江门市
718,002724,海洋王,海洋王照明科技股份有限公司,002724,海洋王,2014年11月4日,广东深圳市
719,002725,跃岭股份,浙江跃岭股份有限公司,002725,跃岭股份,2014年1月29日,浙江台州市
720,002726,龙大肉食,山东龙大肉食品股份有限公司,002726,龙大肉食,2014年6月26日,山东烟台市
721,002727,一心堂,云南鸿翔一心堂药业（集团）股份有限公司,002727,一心堂,2014年7月2日,云南昆明市
722,002728,台城制药,广东台城制药股份有限公司,002728,台城制药,2014年7月31日,广东台山市
723,002729,好利来,好利来（中国）电子科技股份有限公司,002729,好利来,2014年9月12日,福建厦门市
724,002730,电光科技,电光防爆科技股份有限公司,002730,电光科技,2014年10月9日,浙江温州市
725,002731,萃华珠宝,沈阳萃华金银珠宝股份有限公司,002731,萃华珠宝,2014年11月4日,辽宁沈阳市
726,002732,燕塘乳业,广东燕塘乳业股份有限公司,002732,燕塘乳业,2014年12月5日,广东广州市
727,002733,雄韬股份,深圳市雄韬电源科技股份有限公司,002733,雄韬股份,2014年12月3日,广东深圳市
728,002734,利民股份,利民化工股份有限公司,002734,利民股份,2015年1月27日,江苏徐州市
729,002735,王子新材,深圳王子新材料股份有限公司,002735,王子新材,2014年12月3日,广东深圳市
730,002736,国信证券,国信证券股份有限公司,002736,国信证券,2014年12月29日,广东深圳市
731,002737,葵花药业,葵花药业集团股份有限公司,002737,葵花药业,2014年12月30日,黑龙江哈尔滨市
732,002738,中矿资源,中矿资源勘探股份有限公司,002738,中矿资源,2014年12月30日,北京市
733,002739,万达院线,万达电影院线股份有限公司,002739,万达院线,2015年1月22日,北京市
734,002740,爱迪尔,深圳市爱迪尔珠宝股份有限公司,002740,爱迪尔,2015年1月22日,广东深圳市
735,002741,光华科技,广东光华科技股份有限公司,002741,光华科技,2015年2月16日,广东汕头市
736,002742,三圣特材,重庆三圣特种建材股份有限公司,002742,三圣特材,2015年2月17日,重庆市
737,002743,富煌钢构,安徽富煌钢构股份有限公司,002743,富煌钢构,2015年2月17日,安徽合肥市
738,002745,木林森,木林森股份有限公司,002745,木林森,2015年2月17日,广东中山市
739,002746,仙坛股份,山东仙坛股份有限公司,002746,仙坛股份,2015年2月16日,山东烟台市
740,002747,埃斯顿,南京埃斯顿自动化股份有限公司,002747,埃斯顿,2015年3月20日,江苏南京市
741,002748,世龙实业,江西世龙实业股份有限公司,002748,世龙实业,2015年3月19日,江西景德镇市
742,002749,国光股份,四川国光农化股份有限公司,002749,国光股份,2015年3月20日,四川简阳市
743,002750,龙津药业,昆明龙津药业股份有限公司,002750,龙津药业,2015年3月24日,云南昆明市
744,002751,易尚展示,深圳市易尚展示股份有限公司,002751,易尚展示,2015年4月24日,广东深圳市
745,002752,昇兴股份,昇兴集团股份有限公司,002752,昇兴股份,2015年4月22日,福建福州市
746,002753,永东股份,山西永东化工股份有限公司,002753,永东股份,2015年5月19日,山西运城市
747,002755,东方新星,北京东方新星石化工程股份有限公司,002755,东方新星,2015年5月15日,北京市
748,002756,永兴特钢,永兴特种不锈钢股份有限公司,002756,永兴特钢,2015年5月15日,浙江湖州市
749,002757,南兴装备,东莞市南兴家具装备制造股份有限公司,002757,南兴装备,2015年5月27日,广东东莞市
750,002758,华通医药,浙江华通医药股份有限公司,002758,华通医药,2015年5月27日,浙江绍兴市
751,002759,天际股份,广东天际电器股份有限公司,002759,天际股份,2015年5月28日,广东汕头市
752,002760,凤形股份,安徽省凤形耐磨材料股份有限公司,002760,凤形股份,2015年6月11日,安徽宣城市
753,002761,多喜爱,多喜爱家纺股份有限公司,002761,多喜爱,2015年6月10日,湖南长沙市
754,002762,金发拉比,金发拉比妇婴童用品股份有限公司,002762,金发拉比,2015年6月10日,广东汕头市
755,002763,汇洁股份,深圳汇洁集团股份有限公司,002763,汇洁股份,2015年6月10日,广东深圳市
756,002765,蓝黛传动,重庆蓝黛动力传动机械股份有限公司,002765,蓝黛传动,2015年6月12日,重庆市
757,002766,索菱股份,深圳市索菱实业股份有限公司,002766,索菱股份,2015年6月11日,广东深圳市
758,002767,先锋电子,杭州先锋电子技术股份有限公司,002767,先锋电子,2015年6月12日,浙江杭州市
759,002768,国恩股份,青岛国恩科技股份有限公司,002768,国恩股份,2015年6月30日,山东青岛市
760,002769,普路通,深圳市普路通供应链管理股份有限公司,002769,普路通,2015年6月29日,广东深圳市
761,002770,科迪乳业,河南科迪乳业股份有限公司,002770,科迪乳业,2015年6月30日,河南商丘市
762,002771,真视通,北京真视通科技股份有限公司,002771,真视通,2015年6月29日,北京市
763,002772,众兴菌业,天水众兴菌业科技股份有限公司,002772,众兴菌业,2015年6月26日,甘肃天水市
764,002773,康弘药业,成都康弘药业集团股份有限公司,002773,康弘药业,2015年6月26日,四川成都市
765,002775,文科园林,深圳文科园林股份有限公司,002775,文科园林,2015年6月29日,广东深圳市
766,002776,柏堡龙,广东柏堡龙股份有限公司,002776,柏堡龙,2015年6月26日,广东揭阳市
767,002777,久远银海,四川久远银海软件股份有限公司,002777,久远银海,2015年12月31日,四川成都市
768,002778,高科石化,江苏高科石化股份有限公司,002778,高科石化,2016年1月6日,江苏无锡市
769,002779,中坚科技,浙江中坚科技股份有限公司,002779,中坚科技,2015年12月9日,浙江金华市
770,002780,三夫户外,北京三夫户外用品股份有限公司,002780,三夫户外,2015年12月9日,北京市
771,002781,奇信股份,深圳市奇信建设集团股份有限公司,002781,奇信股份,2015年12月22日,广东深圳市
772,002782,可立克,深圳可立克科技股份有限公司,002782,可立克,2015年12月22日,广东深圳市
773,002783,凯龙股份,湖北凯龙化工集团股份有限公司,002783,凯龙股份,2015年12月9日,湖北荆门市
774,002785,万里石,厦门万里石股份有限公司,002785,万里石,2015年12月23日,福建厦门市
775,002786,银宝山新,深圳市银宝山新科技股份有限公司,002786,银宝山新,2015年12月23日,广东深圳市
776,002787,华源包装,苏州华源包装股份有限公司,002787,华源包装,2015年12月31日,江苏苏州市
777,002788,鹭燕医药,鹭燕（福建）药业股份有限公司,002788,鹭燕医药,2016年2月18日,福建厦门市
778,002789,建艺集团,深圳市建艺装饰集团股份有限公司,002789,建艺集团,2016年3月11日,广东深圳市
779,002790,瑞尔特,厦门瑞尔特卫浴科技股份有限公司,002790,瑞尔特,2016年3月8日,福建厦门市
