,公司全称,A股代码,A股简称,A股时间,B股代码,B股简称,B股时间,城市
291,山东高速股份有限公司,600350,山东高速,2002-03-18,,,,山东省济南市
292,亚宝药业集团股份有限公司,600351,亚宝药业,2002-09-26,,,,山西省运城市
293,浙江龙盛集团股份有限公司,600352,浙江龙盛,2003-08-01,,,,浙江省绍兴市
294,成都旭光电子股份有限公司,600353,旭光股份,2002-11-20,,,,四川省成都市
295,甘肃省敦煌种业股份有限公司,600354,敦煌种业,2004-01-15,,,,甘肃省酒泉市
296,精伦电子股份有限公司,600355,精伦电子,2002-06-13,,,,湖北省武汉市
297,牡丹江恒丰纸业股份有限公司,600356,恒丰纸业,2001-04-19,,,,黑龙江省牡丹江市
298,国旅联合股份有限公司,600358,国旅联合,2000-09-22,,,,江苏省南京市
299,新疆塔里木农业综合开发股份有限公司,600359,新农开发,1999-04-29,,,,新疆维吾尔自治区阿拉尔市
300,吉林华微电子股份有限公司,600360,华微电子,2001-03-16,,,,吉林省吉林市
301,北京华联综合超市股份有限公司,600361,华联综超,2001-11-29,,,,北京市
302,江西铜业股份有限公司,600362,江西铜业,2002-01-11,,,,江西省鹰潭市
303,江西联创光电科技股份有限公司,600363,联创光电,2001-03-29,,,,江西省南昌市
304,通化葡萄酒股份有限公司,600365,通葡股份,2001-01-15,,,,吉林省通化市
305,宁波韵升股份有限公司,600366,宁波韵升,2000-10-30,,,,浙江省宁波市
306,贵州红星发展股份有限公司,600367,红星发展,2001-03-20,,,,贵州省安顺市
307,广西五洲交通股份有限公司,600368,五洲交通,2000-12-21,,,,广西壮族自治区南宁市
308,西南证券股份有限公司,600369,西南证券,2001-01-09,,,,重庆市
309,江苏三房巷实业股份有限公司,600370,三房巷,2003-03-06,,,,江苏省无锡市
310,万向德农股份有限公司,600371,万向德农,2002-09-16,,,,黑龙江省哈尔滨市
311,中航航空电子系统股份有限公司,600372,中航电子,2001-07-06,,,,北京市
