,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,城市
35,300036,超图软件,北京超图软件股份有限公司,300036,超图软件,2009年12月25日,北京市
36,300037,新宙邦,深圳新宙邦科技股份有限公司,300037,新宙邦,2010年1月8日,广东深圳市
37,300038,梅泰诺,北京梅泰诺通信技术股份有限公司,300038,梅泰诺,2010年1月8日,北京市
38,300039,上海凯宝,上海凯宝药业股份有限公司,300039,上海凯宝,2010年1月8日,上海市
39,300040,九洲电气,哈尔滨九洲电气股份有限公司,300040,九洲电气,2010年1月8日,黑龙江哈尔滨市
40,300041,回天新材,湖北回天新材料股份有限公司,300041,回天新材,2010年1月8日,湖北襄阳市
41,300042,朗科科技,深圳市朗科科技股份有限公司,300042,朗科科技,2010年1月8日,广东深圳市
42,300043,互动娱乐,星辉互动娱乐股份有限公司,300043,互动娱乐,2010年1月20日,广东汕头市
43,300044,赛为智能,深圳市赛为智能股份有限公司,300044,赛为智能,2010年1月20日,广东深圳市
44,300045,华力创通,北京华力创通科技股份有限公司,300045,华力创通,2010年1月20日,北京市
45,300046,台基股份,湖北台基半导体股份有限公司,300046,台基股份,2010年1月20日,湖北襄阳市
46,300047,天源迪科,深圳天源迪科信息技术股份有限公司,300047,天源迪科,2010年1月20日,广东深圳市
47,300048,合康变频,北京合康亿盛变频科技股份有限公司,300048,合康变频,2010年1月20日,北京市
48,300049,福瑞股份,内蒙古福瑞医疗科技股份有限公司,300049,福瑞股份,2010年1月20日,内蒙古乌兰察布市
49,300050,世纪鼎利,珠海世纪鼎利科技股份有限公司,300050,世纪鼎利,2010年1月20日,广东珠海市
50,300051,三五互联,厦门三五互联科技股份有限公司,300051,三五互联,2010年2月11日,福建厦门市
51,300052,中青宝,深圳中青宝互动网络股份有限公司,300052,中青宝,2010年2月11日,广东深圳市
52,300053,欧比特,珠海欧比特控制工程股份有限公司,300053,欧比特,2010年2月11日,广东珠海市
53,300054,鼎龙股份,湖北鼎龙化学股份有限公司,300054,鼎龙股份,2010年2月11日,湖北武汉市
54,300055,万邦达,北京万邦达环保技术股份有限公司,300055,万邦达,2010年2月26日,北京市
55,300056,三维丝,厦门三维丝环保股份有限公司,300056,三维丝,2010年2月26日,福建厦门市
56,300057,万顺股份,汕头万顺包装材料股份有限公司,300057,万顺股份,2010年2月26日,广东汕头市
57,300058,蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,300058,蓝色光标,2010年2月26日,北京市
58,300059,东方财富,东方财富信息股份有限公司,300059,东方财富,2010年3月19日,上海市
59,300061,康耐特,上海康耐特光学股份有限公司,300061,康耐特,2010年3月19日,上海市
60,300062,中能电气,中能电气股份有限公司,300062,中能电气,2010年3月19日,福建福州市
61,300063,天龙集团,广东天龙油墨集团股份有限公司,300063,天龙集团,2010年3月26日,广东肇庆市
62,300064,豫金刚石,郑州华晶金刚石股份有限公司,300064,豫金刚石,2010年3月26日,河南郑州市
63,300065,海兰信,北京海兰信数据科技股份有限公司,300065,海兰信,2010年3月26日,北京市
64,300066,三川智慧,三川智慧科技股份有限公司,300066,三川智慧,2010年3月26日,江西鹰潭市
65,300067,安诺其,上海安诺其集团股份有限公司,300067,安诺其,2010年4月21日,上海市
66,300068,南都电源,浙江南都电源动力股份有限公司,300068,南都电源,2010年4月21日,浙江杭州市
67,300069,金利华电,浙江金利华电气股份有限公司,300069,金利华电,2010年4月21日,浙江金华市
68,300070,碧水源,北京碧水源科技股份有限公司,300070,碧水源,2010年4月21日,北京市
69,300071,华谊嘉信,北京华谊嘉信整合营销顾问集团股份有限公司,300071,华谊嘉信,2010年4月21日,北京市
70,300072,三聚环保,北京三聚环保新材料股份有限公司,300072,三聚环保,2010年4月27日,北京市
71,300073,当升科技,北京当升材料科技股份有限公司,300073,当升科技,2010年4月27日,北京市
72,300074,华平股份,华平信息技术股份有限公司,300074,华平股份,2010年4月27日,上海市
73,300075,数字政通,北京数字政通科技股份有限公司,300075,数字政通,2010年4月27日,北京市
74,300076,GQY视讯,宁波GQY视讯股份有限公司,300076,GQY视讯,2010年4月30日,浙江宁波市
75,300077,国民技术,国民技术股份有限公司,300077,国民技术,2010年4月30日,广东深圳市
76,300078,思创医惠,思创医惠科技股份有限公司,300078,思创医惠,2010年4月30日,浙江杭州市
77,300079,数码视讯,北京数码视讯科技股份有限公司,300079,数码视讯,2010年4月30日,北京市
78,300080,易成新能,河南易成新能源股份有限公司,300080,易成新能,2010年6月25日,河南开封市
79,300081,恒信移动,恒信移动商务股份有限公司,300081,恒信移动,2010年5月20日,河北石家庄市
80,300082,奥克股份,辽宁奥克化学股份有限公司,300082,奥克股份,2010年5月20日,辽宁辽阳市
81,300083,劲胜精密,东莞劲胜精密组件股份有限公司,300083,劲胜精密,2010年5月20日,广东东莞市
82,300084,海默科技,兰州海默科技股份有限公司,300084,海默科技,2010年5月20日,甘肃兰州市
83,300085,银之杰,深圳市银之杰科技股份有限公司,300085,银之杰,2010年5月26日,广东深圳市
84,300086,康芝药业,海南康芝药业股份有限公司,300086,康芝药业,2010年5月26日,海南海口市
85,300087,荃银高科,安徽荃银高科种业股份有限公司,300087,荃银高科,2010年5月26日,安徽合肥市
86,300088,长信科技,芜湖长信科技股份有限公司,300088,长信科技,2010年5月26日,安徽芜湖市
87,300089,文化长城,广东文化长城集团股份有限公司,300089,文化长城,2010年6月25日,广东潮州市
88,300090,盛运环保,安徽盛运环保（集团）股份有限公司,300090,盛运环保,2010年6月25日,安徽安庆市
89,300091,金通灵,江苏金通灵流体机械科技股份有限公司,300091,金通灵,2010年6月25日,江苏南通市
90,300092,科新机电,四川科新机电股份有限公司,300092,科新机电,2010年7月8日,四川德阳市
91,300093,金刚玻璃,广东金刚玻璃科技股份有限公司,300093,金刚玻璃,2010年7月8日,广东汕头市
92,300094,国联水产,湛江国联水产开发股份有限公司,300094,国联水产,2010年7月8日,广东湛江市
93,300095,华伍股份,江西华伍制动器股份有限公司,300095,华伍股份,2010年7月28日,江西宜春市
94,300096,易联众,易联众信息技术股份有限公司,300096,易联众,2010年7月28日,福建厦门市
95,300097,智云股份,大连智云自动化装备股份有限公司,300097,智云股份,2010年7月28日,辽宁大连市
96,300098,高新兴,高新兴科技集团股份有限公司,300098,高新兴,2010年7月28日,广东广州市
97,300099,尤洛卡,尤洛卡矿业安全工程股份有限公司,300099,尤洛卡,2010年8月6日,山东泰安市
98,300100,双林股份,宁波双林汽车部件股份有限公司,300100,双林股份,2010年8月6日,浙江宁波市
99,300101,振芯科技,成都振芯科技股份有限公司,300101,振芯科技,2010年8月6日,四川成都市
100,300102,干照光电,厦门干照光电股份有限公司,300102,干照光电,2010年8月12日,福建厦门市
101,300103,达刚路机,西安达刚路面机械股份有限公司,300103,达刚路机,2010年8月12日,陕西西安市
102,300104,乐视网,乐视网信息技术（北京）股份有限公司,300104,乐视网,2010年8月12日,北京市
103,300105,龙源技术,烟台龙源电力技术股份有限公司,300105,龙源技术,2010年8月20日,山东烟台市
104,300106,西部牧业,新疆西部牧业股份有限公司,300106,西部牧业,2010年8月20日,新疆石河子市
105,300107,建新股份,河北建新化工股份有限公司,300107,建新股份,2010年8月20日,河北沧州市
106,300108,双龙股份,通化双龙化工股份有限公司,300108,双龙股份,2010年8月25日,吉林通化市
107,300109,新开源,博爱新开源制药股份有限公司,300109,新开源,2010年8月25日,河南焦作市
108,300110,华仁药业,华仁药业股份有限公司,300110,华仁药业,2010年8月25日,山东青岛市
109,300111,向日葵,浙江向日葵光能科技股份有限公司,300111,向日葵,2010年8月27日,浙江绍兴市
110,300112,万讯自控,深圳万讯自控股份有限公司,300112,万讯自控,2010年8月27日,广东深圳市
111,300113,顺网科技,杭州顺网科技股份有限公司,300113,顺网科技,2010年8月27日,浙江杭州市
112,300114,中航电测,中航电测仪器股份有限公司,300114,中航电测,2010年8月27日,陕西汉中市
113,300115,长盈精密,深圳市长盈精密技术股份有限公司,300115,长盈精密,2010年9月2日,广东深圳市
114,300116,坚瑞消防,陕西坚瑞消防股份有限公司,300116,坚瑞消防,2010年9月2日,陕西西安市
115,300117,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,300117,嘉寓股份,2010年9月2日,北京市
116,300118,东方日升,东方日升新能源股份有限公司,300118,东方日升,2010年9月2日,浙江宁波市
117,300119,瑞普生物,天津瑞普生物技术股份有限公司,300119,瑞普生物,2010年9月17日,天津市
118,300120,经纬电材,天津经纬电材股份有限公司,300120,经纬电材,2010年9月17日,天津市
119,300121,阳谷华泰,山东阳谷华泰化工股份有限公司,300121,阳谷华泰,2010年9月17日,山东聊城市
120,300122,智飞生物,重庆智飞生物制品股份有限公司,300122,智飞生物,2010年9月28日,重庆市
121,300123,太阳鸟,太阳鸟游艇股份有限公司,300123,太阳鸟,2010年9月28日,湖南益阳市
