,公司代码,公司简称,公司全称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,城市
129,000528,柳工,广西柳工机械股份有限公司,000528,柳工,1993年11月18日,,,,广西柳州市
130,000529,粤美雅,广东美雅集团股份有限公司,000529,S*ST美雅,1993年11月18日,,,,广东省江门市
131,000530,大冷股份,大连冷冻机股份有限公司,000530,大冷股份,1993年12月8日,200530,大冷B,1998年3月20日,辽宁省大连市
132,000531,穗恒运,广州恒运企业集团股份有限公司,000531,穗恒运A,1994年1月6日,,,,广东省广州市
133,000532,力合股份,力合股份有限公司,000532,力合股份,1994年1月3日,,,,广东省珠海市
134,000533,万家乐,广东万家乐股份有限公司,000533,万家乐,1994年1月3日,,,,广东省佛山市
135,000534,万泽股份,万泽实业股份有限公司,000534,万泽股份,1994年1月10日,,,,广东省汕头市
136,000536,闽闽东,闽东电机（集团）股份有限公司,000536,SST闽东,1993年11月26日,,,,福建省福州市
137,000537,广宇发展,天津广宇发展股份有限公司,000537,广宇发展,1993年12月10日,,,,天津市
138,000538,云南白药,云南白药集团股份有限公司,000538,云南白药,1993年12月15日,,,,云南省昆明市
139,000539,粤电力,广东电力发展股份有限公司,000539,粤电力A,1993年11月26日,200539,粤电力B,1995年6月28日,广东省广州市
140,000540,中天城投,中天城投集团股份有限公司,000540,中天城投,1994年2月2日,,,,贵州省贵阳市
141,000541,佛山照明,佛山电器照明股份有限公司,000541,佛山照明,1993年11月23日,200541,粤照明B,1995年8月8日,广东省佛山市
142,000543,皖能电力,安徽省皖能股份有限公司,000543,皖能电力,1993年12月20日,,,,安徽省合肥市
143,000544,中原环保,中原环保股份有限公司,000544,中原环保,1993年12月8日,,,,河南省郑州市
144,000545,吉林制药,吉林制药股份有限公司,000545,吉林制药,1993年12月15日,,,,吉林省吉林市
145,000546,吉光华,吉林光华控股集团股份有限公司,000546,光华控股,1993年12月15日,,,,吉林省长春市
146,000547,闽福发,神州学人集团股份有限公司,000547,闽福发A,1993年11月30日,,,,福建省福州市
147,000548,湖南投资,湖南投资集团股份有限公司,000548,湖南投资,1993年12月20日,,,,湖南省长沙市
148,000550,江铃汽车,江铃汽车股份有限公司,000550,江铃汽车,1993年12月1日,200550,江铃B,1995年9月29日,江西省南昌市
149,000551,创元科技,创元科技股份有限公司,000551,创元科技,1994年1月6日,,,,江苏省苏州市
150,000552,靖远煤电,甘肃靖远煤电股份有限公司,000552,靖远煤电,1994年1月6日,,,,甘肃省白银市
151,000553,沙隆达,湖北沙隆达股份有限公司,000553,沙隆达A,1993年12月3日,200553,沙隆达B,1997年5月15日,湖北省荆州市
152,000554,泰山石油,中国石化山东泰山石油股份有限公司,000554,泰山石油,1993年12月15日,,,,山东省泰安市
153,000555,太光电信,深圳市太光电信股份有限公司,000555,ST太光,1994年4月8日,,,,广东省深圳市
154,000557,银广夏,广夏（银川）实业股份有限公司,000557,ST银广夏,1994年6月17日,,,,宁夏银川市
155,000558,莱茵置业,莱茵达置业股份有限公司,000558,莱茵置业,1994年5月9日,,,,辽宁省沈阳市
156,000559,万向钱潮,万向钱潮股份有限公司,000559,万向钱潮,1994年1月10日,,,,浙江省杭州市
157,000560,昆百大,昆明百货大楼（集团）股份有限公司,000560,昆百大A,1994年2月2日,,,,云南省昆明市
158,000561,陕长岭,长岭（集团）股份有限公司,000561,S*ST长岭,1994年5月9日,,,,陕西省宝鸡市
159,000563,陕国投,陕西省国际信托投资股份有限公司,000563,陕国投A,1994年1月10日,,,,陕西省西安市
160,000564,西安民生,西安民生集团股份有限公司,000564,西安民生,1994年1月10日,,,,陕西省西安市
161,000565,渝三峡,重庆三峡油漆股份有限公司,000565,渝三峡A,1994年4月8日,,,,重庆市
162,000566,海南海药,海南海药股份有限公司,000566,海南海药,1994年5月25日,,,,海南省海口市
163,000567,海德股份,海南海德实业股份有限公司,000567,海德股份,1994年5月25日,,,,海南省海口市
164,000568,泸州老窖,泸州老窖股份有限公司,000568,泸州老窖,1994年5月9日,,,,四川省泸州市
165,000569,四川长钢,攀钢集团四川长城特殊钢股份有限公司,000569,长城股份,1994年4月25日,,,,四川省绵阳市
166,000570,苏常柴,常柴股份有限公司,000570,苏常柴A,1994年7月1日,200570,苏常柴B,1996年9月13日,江苏省常州市
167,000571,新大洲A,新大洲控股股份有限公司,000571,新大洲A,1994年5月25日,,,,海南省海口市
168,000572,海马股份,海马投资集团股份有限公司,000572,海马股份,1994年8月8日,,,,海南省海口市
169,000573,粤宏远,东莞宏远工业区股份有限公司,000573,粤宏远A,1994年8月15日,,,,广东省东莞市
170,000576,广东甘化,江门甘蔗化工厂（集团）股份有限公司,000576,广东甘化,1994年9月7日,,,,广东省江门市
171,000578,盐湖工业,青海盐湖工业集团股份有限公司,000578,ST盐湖,1995年3月3日,,,,青海省格尔木市
172,000581,威孚高科,无锡威孚高科技股份有限公司,000581,威孚高科,1998年9月24日,200581,苏威孚B,1995年9月11日,江苏省无锡市
173,000582,北海港,北海市北海港股份有限公司,000582,北海港,1995年11月2日,,,,广西北海市
174,000584,舒卡股份,四川舒卡特种纤维股份有限公司,000584,舒卡股份,1995年11月28日,,,,四川省成都市
175,000585,东北电气,东北电气发展股份有限公司,000585,东北电气,1995年12月13日,,,,辽宁省沈阳市
176,000586,汇源通信,四川汇源光通信股份有限公司,000586,汇源通信,1995年12月20日,,,,四川省成都市
177,000587,光明家具,光明集团家具股份有限公司,000587,S*ST光明,1996年4月25日,,,,黑龙江省伊春市
178,000589,黔轮胎,贵州轮胎股份有限公司,000589,黔轮胎A,1996年3月8日,,,,贵州省贵阳市
179,000590,紫光古汉,紫光古汉集团股份有限公司,000590,紫光古汉,1996年1月19日,,,,湖南省衡阳市
180,000591,桐君阁,重庆桐君阁股份有限公司,000591,桐君阁,1996年2月8日,,,,重庆市
181,000592,中福实业,福建中福实业股份有限公司,000592,ST中福,1996年3月27日,,,,福建省福州市
